Question,Expected Answer
"What is the superclass of all classes in Java?","Object"
"Which keyword is used to define a subclass in Java?","extends"
"What is the default value of the data type double in Java?","0.0"
"Which method is called when an object is created in Java?","constructor()"
"What is the size of int data type in Java?","32 bits"
"Which of the following is a marker interface in Java?","Serializable"
"What is the purpose of the static keyword in Java?","to indicate a method that belongs to the class and not to instances"
"Which exception is thrown when an array is accessed with an illegal index in Java?","ArrayIndexOutOfBoundsException"
"What is the difference between == and .equals() method in Java?","== compares the references of objects, .equals() compares their values"
"What is the output of the code snippet: System.out.println(10 % 3)?","1"
"Which Java keyword is used to define a constant value?","final"
"What does JVM stand for?","Java Virtual Machine"
"What is the purpose of the keyword synchronized in Java?","to synchronize the access of instance variables across multiple threads"
"Which method is used to convert a string to an integer in Java?","parseInt()"
"What is the purpose of the finalize() method in Java?","to clean up system resources before an object is garbage collected"
"Which data structure is used to implement a LIFO (Last-In-First-Out) mechanism in Java?","Stack"
"What is the purpose of the transient keyword in Java?","to prevent serialization of a variable"
"What is the purpose of the finally block in Java exception handling?","to execute code regardless of whether an exception occurs or not"
"Which operator is used to perform short-circuit logical AND in Java?","&&"
"What is the purpose of the super keyword in Java?","to access superclass methods and variables"
